
央视频道,#genre#
金庸武侠,http://huanqiuzhibo.cn/manifest/douyu.php?id=7644931 
国产剧集,http://huanqiuzhibo.cn/manifest/douyu.php?id=8157860 
国产剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=308752 
爱情公寓,http://huanqiuzhibo.cn/manifest/douyu.php?id=2838296 
经典剧集,http://huanqiuzhibo.cn/manifest/douyu.php?id=686336
奶虫影院,http://zzy789.xyz/douyu1.php?id=263824
绍兴影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
新昌休闲,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8

新白娘子传奇,#genre#,
第01集,https://vip.ffzy-online.com/20221207/29683_1338bd77/2000k/hls/mixed.m3u8

第02集,https://vip.ffzy-online.com/20221207/29684_3dab2eb4/2000k/hls/mixed.m3u8

第03集,https://vip.ffzy-online.com/20221207/29685_3aa793d0/2000k/hls/mixed.m3u8

第04集,https://vip.ffzy-online.com/20221207/29686_4c6279f8/2000k/hls/mixed.m3u8

第05集,https://vip.ffzy-online.com/20221207/29687_482d76ca/2000k/hls/mixed.m3u8

第06集,https://vip.ffzy-online.com/20221207/29688_9196285b/2000k/hls/mixed.m3u8

第07集,https://vip.ffzy-online.com/20221207/29689_13d6579f/2000k/hls/mixed.m3u8

第08集,https://vip.ffzy-online.com/20221207/29690_11654f1d/2000k/hls/mixed.m3u8

第09集,https://vip.ffzy-online.com/20221207/29691_e0851f6b/2000k/hls/mixed.m3u8

第10集,https://vip.ffzy-online.com/20221207/29692_62a82934/2000k/hls/mixed.m3u8

第11集,https://vip.ffzy-online.com/20221207/29693_417197b2/2000k/hls/mixed.m3u8

第12集,https://vip.ffzy-online.com/20221207/29696_d11a7fc2/2000k/hls/mixed.m3u8

第13集,https://vip.ffzy-online.com/20221207/29695_94af3488/2000k/hls/mixed.m3u8

第14集,https://vip.ffzy-online.com/20221207/29694_f313e39f/2000k/hls/mixed.m3u8

第15集,https://vip.ffzy-online.com/20221207/29697_c3b30b5b/2000k/hls/mixed.m3u8

第16集,https://vip.ffzy-online.com/20221207/29698_9fd1145e/2000k/hls/mixed.m3u8

第17集,https://vip.ffzy-online.com/20221207/29699_2574173d/2000k/hls/mixed.m3u8

第18集,https://vip.ffzy-online.com/20221207/29700_ec704d9e/2000k/hls/mixed.m3u8

第19集,https://vip.ffzy-online.com/20221207/29701_69c8b28a/2000k/hls/mixed.m3u8

第20集,https://vip.ffzy-online.com/20221207/29702_6d69a791/2000k/hls/mixed.m3u8

第21集,https://vip.ffzy-online.com/20221207/29703_1002bc52/2000k/hls/mixed.m3u8

第22集,https://vip.ffzy-online.com/20221207/29704_fea082ab/2000k/hls/mixed.m3u8

第23集,https://vip.ffzy-online.com/20221207/29705_629acd3f/2000k/hls/mixed.m3u8

第24集,https://vip.ffzy-online.com/20221207/29706_69fefb33/2000k/hls/mixed.m3u8

第25集,https://vip.ffzy-online.com/20221207/29707_5a886a1e/2000k/hls/mixed.m3u8

第26集,https://vip.ffzy-online.com/20221207/29708_016bf157/2000k/hls/mixed.m3u8

第27集,https://vip.ffzy-online.com/20221207/29709_c75372f5/2000k/hls/mixed.m3u8

第28集,https://vip.ffzy-online.com/20221207/29710_590736d3/2000k/hls/mixed.m3u8

第29集,https://vip.ffzy-online.com/20221207/29711_9e974705/2000k/hls/mixed.m3u8

第30集,https://vip.ffzy-online.com/20221207/29712_2aa40cc3/2000k/hls/mixed.m3u8

第31集,https://vip.ffzy-online.com/20221207/29716_f04c8440/2000k/hls/mixed.m3u8

第32集,https://vip.ffzy-online.com/20221207/29714_1cdf1b0f/2000k/hls/mixed.m3u8

第33集,https://vip.ffzy-online.com/20221207/29715_c0a73cad/2000k/hls/mixed.m3u8

第34集,https://vip.ffzy-online.com/20221207/29713_187b2074/2000k/hls/mixed.m3u8

第35集,https://vip.ffzy-online.com/20221207/29718_c175214e/2000k/hls/mixed.m3u8

第36集,https://vip.ffzy-online.com/20221207/29719_d3467fad/2000k/hls/mixed.m3u8

第37集,https://vip.ffzy-online.com/20221207/29717_9c07630f/2000k/hls/mixed.m3u8

第38集,https://vip.ffzy-online.com/20221207/29721_56fb1f46/2000k/hls/mixed.m3u8

第39集,https://vip.ffzy-online.com/20221207/29720_2eaef0db/2000k/hls/mixed.m3u8

第40集,https://vip.ffzy-online.com/20221207/29723_b30ec713/2000k/hls/mixed.m3u8

第41集,https://vip.ffzy-online.com/20221207/29724_08be935c/2000k/hls/mixed.m3u8

第42集,https://vip.ffzy-online.com/20221207/29722_37980174/2000k/hls/mixed.m3u8

第43集,https://vip.ffzy-online.com/20221207/29729_469473d2/2000k/hls/mixed.m3u8

第44集,https://vip.ffzy-online.com/20221207/29725_b8e6a502/2000k/hls/mixed.m3u8

第45集,https://vip.ffzy-online.com/20221207/29728_a8c45209/2000k/hls/mixed.m3u8

第46集,https://vip.ffzy-online.com/20221207/29726_a6ffe05a/2000k/hls/mixed.m3u8

第47集,https://vip.ffzy-online.com/20221207/29727_832a6fab/2000k/hls/mixed.m3u8

第48集,https://vip.ffzy-online.com/20221207/29730_5b1a05cd/2000k/hls/mixed.m3u8

第49集,https://vip.ffzy-online.com/20221207/29732_fa83b88d/2000k/hls/mixed.m3u8

第50集,https://vip.ffzy-online.com/20221207/29731_1cea3325/2000k/hls/mixed.m3u8


极限_8989,#genre#
极限电影,http://m6z.cn/5GCB1h

松视1,http://u3v.cn/5VEYzx

松视3,http://u3v.cn/5O8LuQ

香蕉台,http://m6z.cn/5VEYzn

彩虹e,http://m6z.cn/5z1J9J

彩虹k,http://m6z.cn/6xbpLi

彩虹电影,http://m6z.cn/6idbMy

惊艳台,http://m6z.cn/63bbE4

潘多拉,http://m6z.cn/6aGYHR
happy,http://m6z.cn/5O8LuG
